severity,category,shot_id,session_id,club,carry,total,ball_speed,club_speed,smash,launch_angle,back_spin,reason
CRITICAL,physics_violations,43101_88757_1339479,43101,Sgt Rd1,109359.9,109359.9,9.2,223691.8,0.0,0.0,0,carry=109359.9 yards exceeds physical maximum (400)
CRITICAL,physics_violations,43101_88757_1339479,43101,Sgt Rd1,109359.9,109359.9,9.2,223691.8,0.0,0.0,0,club_speed=223691.8 mph exceeds physical maximum (155)
HIGH,duplicates,43101_88760_1339508,43101,Forward Impact Pw,146.9,150.7,104.1,86.9,1.2,21.7,9780,"Duplicate of shot 43101_88760_1339507 in session 43101 — same club='Forward Impact Pw', carry=146.9, ball_speed=104.1"
HIGH,duplicates,27208_57612_910091,27208,GW,134.1,140.3,96.4,84.8,1.14,29.78,7397,"Duplicate of shot 27208_57612_910089 in session 27208 — same club='GW', carry=134.1, ball_speed=96.4"
HIGH,launch_angle,43101_88757_1339452,43101,Sgt Rd1,9.7,11.4,27.1,20.2,1.34,70.22,2656,launch_angle=70.2° exceeds global max (65°)
HIGH,launch_angle,42455_87413_1322322,42455,Sgt Sony Open 1,0.7,0.4,7.3,5.5,1.33,71.57,2538,launch_angle=71.6° exceeds global max (65°)
HIGH,launch_angle,41985_86494_1310963,41985,Shadow Ridge Sgt,3.5,3.7,18.3,13.6,1.35,79.49,1059,launch_angle=79.5° exceeds global max (65°)
HIGH,launch_angle,41985_86494_1310974,41985,Shadow Ridge Sgt,13.1,15.2,36.9,27.6,1.34,78.97,2186,launch_angle=79.0° exceeds global max (65°)
HIGH,launch_angle,26779_56843_898322,26779,Iron7 | Medium,3.2,4.4,17.2,13.9,1.24,76.85,-43,launch_angle=76.8° exceeds global max (65°)
HIGH,launch_angle,26780_56845_898334,26780,Iron7 | Medium,3.2,4.4,17.2,13.9,1.24,76.85,-43,launch_angle=76.8° exceeds global max (65°)
HIGH,launch_angle,26818_56918_899742,26818,7 Iron,1.4,2.1,10.4,10.7,0.97,71.86,3,launch_angle=71.9° exceeds global max (65°)
HIGH,launch_angle,26818_56919_899751,26818,Wedge Pitching | Medium,0.9,1.6,8.0,8.3,0.96,69.73,-71,launch_angle=69.7° exceeds global max (65°)
HIGH,launch_angle,26818_56919_899762,26818,Wedge Pitching | Medium,4.3,4.7,19.9,20.5,0.97,78.82,3512,launch_angle=78.8° exceeds global max (65°)
HIGH,launch_angle,26818_56919_899763,26818,Wedge Pitching | Medium,34.1,41.0,52.3,39.1,1.34,70.97,-50,launch_angle=71.0° exceeds global max (65°)
HIGH,launch_angle,27056_57321_905294,27056,60 Shot Challenge,12.0,15.1,31.3,32.2,0.97,71.87,-49,launch_angle=71.9° exceeds global max (65°)
HIGH,mishit_detection,43285_89069_1343994,43285,Warmup,6.5,8.7,21.0,15.9,1.32,20.87,1655,carry=6.5 yards — almost certainly a duff/shank (club='Warmup')
